AN201202280004321347 IPO上市公告书
AN202607081826815934 董事长退休离任2026
AN202105201492861531 选举董事长聘任高管2021
AN202602021819374685 控股股东减持完毕2026
AN202511071776961281 控股股东减持预披露2025
AN201502120008373879 收购子公司少数股权2015
AN201503060008678477 重大诉讼2015
AN201409160007017450 参股公司风险2014
AN202307271592729865 子公司员工持股平台2023
AN202309281600195133 子公司引入投资者2023
AN201205300005266545 杭州科汀增资2012
AN202302231583641962 国家企业技术中心2023
AN201203030004995321 参与项目获奖2012
AN202108201511235491 睿创光电增资2021
AN201203030004911695 与控股股东共同投资2011
AN201810261222566513 与控股股东共同投资2018
AN201912031371493495 对外投资关联交易2019
AN201912031371493491 设立全资子公司2019
AN202212021580761074 设立全资子公司2022
AN202308291596609235 建设工程施工合同2023
AN202410291640565911 2024中期利润分配
AN202504281663922199 2024年度利润分配
AN202604281821689473 2025年度利润分配
AN201205140005242437 董事长董秘任免2012
AN201606170015258471 控股股东减持2016
AN201202270004228153 土地转让2008
AN202609021828901057 IR20260902
AN202605291823005646 IR20260529
AN202411131640856951 IR20241113
AN202505151673287152 IR20250515
AN201202280004429114 深创投权益变动2009
AN201505080009556178 高管任免2015
AN201805081139456974 高管任免2018
AN202604281821689426 董事辞职补选2026
AN202510151762672937 职工代表董事2025
